model,task,result,config params,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5922.7,549.01,29675.52,0.67,2.48
W16A16_LOGITS,gpqa_main_zeroshot,20.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='gpqa_main_zeroshot', few_shots=0, scores_filter='acc,none')",5922.7,549.01,29675.52,0.67,2.48
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5922.7,549.01,13383.68,0.67,2.48
W16A16_LOGITS,mmlu,69.12280701754386,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5922.7,549.01,13383.68,0.67,2.48
W16A16_LOGITS,winogrande,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='winogrande', few_shots=5, scores_filter='acc,none')",5912.9,1942.51,29143.04,0.67,2.48
W16A16_LOGITS,gpqa_main_zeroshot,20.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='gpqa_main_zeroshot', few_shots=0, scores_filter='acc,none')",5912.9,1942.51,29143.04,0.67,2.48
W16A16_LOGITS,hellaswag,80.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='hellaswag', few_shots=5, scores_filter='acc_norm,none')",5912.9,1942.51,29143.04,0.67,2.48
W16A16_LOGITS,mbpp,40.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mbpp', few_shots=3, scores_filter=None)",5912.9,1942.51,29132.8,5.22,19.8
W16A16_LOGITS,humaneval,40.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='humaneval', few_shots=0, scores_filter=None)",5912.9,1942.51,29132.8,5.22,19.8
W16A16_LOGITS,gsm8k,100.0,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=512, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='gsm8k', few_shots=5, scores_filter='exact_match,flexible-extract')",5912.9,1942.51,29132.8,5.22,19.8
W16A16_LOGITS,mmlu_pro,38.57142857142858,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=8, max_tokens=1, temperature=0.0, return_context_logits=False, seed=0, num_samples=5, task='mmlu_pro', few_shots=5, scores_filter=None)",5912.9,1942.51,29132.8,5.22,19.8
W16A16_LOGITS,mmlu,69.12280701754386,"EvalConfig(free_gpu_memory_fraction=0.4, max_batch_size=1, max_tokens=1, temperature=0.0, return_context_logits=True, seed=0, num_samples=5, task='mmlu', few_shots=5, scores_filter='acc,none')",5912.9,1942.51,12861.44,0.67,2.48
