model,task,result,n_samples_actual,free_gpu_memory_fraction,max_batch_size,max_tokens,temperature,return_context_logits,seed,num_samples,few_shots,scores_filter,print_outputs,engine_disk_mib,exec_context_mib,kv_cache_alloc_mib,runtime_buffers_mib,decoder_mib
W16A16_LOGITS,winogrande,77.74,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,13861.4,864.01,10106.88,0.22,0.66
W16A16_LOGITS,humaneval,1.22,164,0.4,8,512,0.0,False,0,,0,,0,13861.4,864.01,26388.48,1.59,5.25
W16A16_LOGITS,mbpp,37.0,500,0.4,8,512,0.0,False,0,,3,,0,13861.4,864.01,26388.48,1.59,5.25
W16A16_LOGITS,gpqa_main_zeroshot,29.02,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,13861.4,864.01,26388.48,0.22,0.66
W16A16_LOGITS,gsm8k,37.07,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,13861.4,864.01,26388.48,1.59,5.25
W8A16_LOGITS,gsm8k,36.16,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,7196.1,864.01,12769.28,1.59,5.25
W8A8_SQ_LOGITS,wikitext,8.77,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,7200.0,816.52,12789.76,0.22,0.66
W4A16_LOGITS,winogrande,77.74,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,3868.0,864.01,14100.48,0.22,0.66
W4A16_LOGITS,humaneval,2.44,164,0.4,8,512,0.0,False,0,,0,,0,3868.0,864.01,14100.48,1.59,5.25
W16A16_LOGITS,hellaswag,82.46,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,13861.4,864.01,10106.88,0.22,0.66
W8A16_LOGITS,hellaswag,82.32,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,7196.1,864.01,12769.28,0.22,0.66
W16A16_INT8KV_LOGITS,wikitext,8.68,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,13861.1,864.01,10106.88,0.22,0.66
W16A16_INT8KV_LOGITS,mbpp,0.0,500,0.4,8,512,0.0,False,0,,3,,0,13861.1,864.01,10106.88,1.59,5.25
W8A16_INT8KV_LOGITS,winogrande,77.66,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,7196.5,818.3,12789.76,0.22,0.66
W8A16_INT8KV_LOGITS,gpqa_main_zeroshot,28.79,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,7196.5,818.3,12789.76,0.22,0.66
W8A16_INT8KV_LOGITS,wikitext,8.68,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,7196.5,818.3,29071.36,0.22,0.66
W8A8_SQ_INT8KV_LOGITS,winogrande,76.87,2534,0.4,1,1,0.0,True,0,,5,"acc,none",0,7200.5,816.52,29071.36,0.22,0.66
W8A8_SQ_INT8KV_LOGITS,humaneval,1.83,164,0.4,8,512,0.0,False,0,,0,,0,7200.5,816.52,12789.76,1.59,5.25
W8A8_SQ_INT8KV_LOGITS,gpqa_main_zeroshot,30.58,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,7200.5,816.52,29071.36,0.22,0.66
W8A8_SQ_INT8KV_LOGITS,wikitext,8.77,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,7200.5,816.52,29071.36,0.22,0.66
W4A16_INT8KV_LOGITS,humaneval,0.0,164,0.4,8,512,0.0,False,0,,0,,0,3868.4,818.3,30402.56,1.59,5.25
W4A16_LOGITS,hellaswag,80.93,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,3868.0,864.01,14100.48,0.22,0.66
W4A16_INT8KV_LOGITS,mbpp,0.0,500,0.4,8,512,0.0,False,0,,3,,0,3868.4,818.3,30402.56,1.59,5.25
W4A16_INT8KV_LOGITS,wikitext,10.25,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,3868.4,818.3,14120.96,0.22,0.66
W4A16_AWQ_INT8KV_LOGITS,humaneval,1.83,164,0.4,8,512,0.0,False,0,,0,,0,3971.2,864.01,30341.12,1.09,3.63
W4A16_AWQ_INT8KV_LOGITS,gpqa_main_zeroshot,29.69,448,0.4,1,1,0.0,True,0,,0,"acc,none",0,3971.2,864.01,14059.52,0.16,0.45
W4A16_AWQ_INT8KV_LOGITS,wikitext,9.09,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,3971.2,864.01,30341.12,0.16,0.45
W4A16_INT8KV_LOGITS,gsm8k,1.06,1319,0.4,8,512,0.0,False,0,,5,"exact_match,flexible-extract",0,3868.4,818.3,30402.56,1.59,5.25
W4A16_AWQ_INT8KV_LOGITS,mbpp,35.8,500,0.4,8,512,0.0,False,0,,3,,0,3971.2,864.01,14059.52,1.09,3.63
W8A8_SQ_LOGITS,mmlu,62.16,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,7200.0,816.52,29071.36,0.22,0.66
W8A8_SQ_INT8KV_LOGITS,hellaswag,82.38,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,7200.5,816.52,12789.76,0.22,0.66
W8A16_INT8KV_LOGITS,hellaswag,82.32,10042,0.4,1,1,0.0,True,0,,5,"acc_norm,none",0,7196.5,818.3,12789.76,0.22,0.66
W4A16_LOGITS,mmlu,58.23,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,3868.0,864.01,14100.48,0.22,0.66
W4A16_AWQ_INT8KV_LOGITS,mmlu,60.78,14015,0.4,1,1,0.0,True,0,,5,"acc,none",0,3971.2,864.01,14059.52,0.16,0.45
W16A16_LOGITS,wikitext,8.68,1,0.4,1,1,0.0,True,0,,0,"word_perplexity,none",0,13861.4,864.01,26388.48,0.22,0.66
